traditional,simplified,pinyintone,pinyinnum,pinyinnone,tonenumber,MCbaxter,MCinitial,MCfinal,MCtone,MCipa,OC,gloss,GSR,HYDZD,rad,str,Unicode
䞓,䞓,chēng,cheng1,cheng,1,trhjeng,trh-,-jeng,ping,ʈʰjeŋ¹,*t-kʰreŋ,red,0831x,"53508,05",155,7,U+4793
稱,称,chēng,cheng1,cheng,1,tsyhing,tsyh-,-ing,ping,ʨʰiŋ¹,*tʰəŋ,weigh; evaluate; call,0894g,"42619,02",115,9,U+7A31
棖,枨,chéng,cheng2,cheng,2,draeng,dr-,-aeng,ping,ɖæŋ¹,*m-tˤ<r>aŋ,door-posts,0721n,"21223,05",75,8,U+68D6
𣥺,𣥺,chéng,cheng2,cheng,2,draeng,dr-,-aeng,ping,ɖæŋ¹,*m-tˤ<r>aŋ,serve as support for,0725u,"21443,09",77,8,U+2397A
橙,橙,chéng,cheng2,cheng,2,dreang,dr-,-eang,ping,ɖɛŋ¹,*[d]ˤrəŋ,citrus tree (Shuōwén),0883-,"21297,05",75,12,U+6A59
澄,澄,chéng,cheng2,cheng,2,dring,dr-,-ing,ping,ɖiŋ¹,*[d]rəŋ,"limpid, clear",0883m,"31750,06",85,12,U+6F84
懲,惩,chéng,cheng2,cheng,2,dring,dr-,-ing,ping,ɖiŋ¹,*m-trəŋ,reprove; punish,0891b,"42366,06",61,15,U+61F2
程,程,chéng,cheng2,cheng,2,drjeng,dr-,-jeng,ping,ɖjeŋ¹,*(C.)lreŋ,Chéng (a surname),0835t,"42607,02",115,7,U+7A0B
程,程,chéng,cheng2,cheng,2,drjeng,dr-,-jeng,ping,ɖjeŋ¹,*l<r>eŋ,"rule, norm",0835t,"42607,02",115,7,U+7A0B
呈,呈,chéng,cheng2,cheng,2,drjeng,dr-,-jeng,ping,ɖjeŋ¹,*lreŋ,to manifest,0835r,"10585,01",30,4,U+5448
承,承,chéng,cheng2,cheng,2,dzying,dzy-,-ing,ping,ʥiŋ¹,*[m-t]əŋ,receive,0896c,"10054,03",64,4,U+627F
丞,丞,chéng,cheng2,cheng,2,dzying,dzy-,-ing,ping,ʥiŋ¹,*m-təŋ,assist,0896g,"10019,08",1,5,U+4E1E
